id,x,y
0,-100.0,23.0
1,-100.0,17.0
0,-98.94867258771282,23.0
1,-98.94867258771282,17.0
0,-97.89734517542563,23.0
1,-97.89734517542563,17.0
0,-96.84601776313845,23.0
1,-96.84601776313845,17.0
0,-95.79469035085127,23.0
1,-95.79469035085127,17.0
0,-94.74336293856408,23.0
1,-94.74336293856408,17.0
0,-93.6920355262769,23.0
1,-93.6920355262769,17.0
0,-92.64070811398972,23.0
1,-92.64070811398972,17.0
0,-91.58938070170254,23.0
1,-91.58938070170254,17.0
0,-90.53805328941534,23.0
1,-90.53805328941534,17.0
0,-89.48672587712817,23.0
1,-89.48672587712817,17.0
0,-88.43539846484099,23.0
1,-88.43539846484099,17.0
0,-87.3840710525538,23.0
1,-87.3840710525538,17.0
0,-86.33274364026661,23.0
1,-86.33274364026661,17.0
0,-85.28141622797943,23.0
1,-85.28141622797943,17.0
0,-84.23008881569224,23.0
1,-84.23008881569224,17.0
0,-83.17876140340506,23.0
1,-83.17876140340506,17.0
0,-82.12743399111788,23.0
1,-82.12743399111788,17.0
0,-81.07610657883069,23.0
1,-81.07610657883069,17.0
0,-80.02477916654351,23.0
1,-80.02477916654351,17.0
0,-78.97345175425633,23.0
1,-78.97345175425633,17.0
0,-77.92212434196915,23.0
1,-77.92212434196915,17.0
0,-76.87079692968197,23.0
1,-76.87079692968197,17.0
0,-75.81946951739478,23.0
1,-75.81946951739478,17.0
0,-74.7681421051076,23.0
1,-74.7681421051076,17.0
0,-73.7168146928204,23.0
1,-73.7168146928204,17.0
0,-72.66548728053323,23.0
1,-72.66548728053323,17.0
0,-71.61415986824605,23.0
1,-71.61415986824605,17.0
0,-70.56283245595887,23.0
1,-70.56283245595887,17.0
0,-69.51150504367168,23.0
1,-69.51150504367168,17.0
0,-68.4601776313845,23.0
1,-68.4601776313845,17.0
0,-67.4088502190973,23.0
1,-67.4088502190973,17.0
0,-66.35752280681012,23.0
1,-66.35752280681012,17.0
0,-65.30619539452294,23.0
1,-65.30619539452294,17.0
0,-64.25486798223577,23.0
1,-64.25486798223577,17.0
0,-63.20354056994858,23.0
1,-63.20354056994858,17.0
0,-62.15221315766139,23.0
1,-62.15221315766139,17.0
0,-61.10088574537421,23.0
1,-61.10088574537421,17.0
0,-60.04955833308703,23.0
1,-60.04955833308703,17.0
0,-58.99823092079984,23.0
1,-58.99823092079984,17.0
0,-57.94690350851266,23.0
1,-57.94690350851266,17.0
0,-56.895576096225476,23.0
1,-56.895576096225476,17.0
0,-55.84424868393829,23.0
1,-55.84424868393829,17.0
0,-54.79292127165111,23.0
1,-54.79292127165111,17.0
0,-53.74159385936393,23.0
1,-53.74159385936393,17.0
0,-52.690266447076745,23.0
1,-52.690266447076745,17.0
0,-51.63893903478956,23.0
1,-51.63893903478956,17.0
0,-50.58761162250237,23.0
1,-50.58761162250237,17.0
0,-49.5362842102152,23.0
1,-49.5362842102152,17.0
0,-48.484956797928014,23.0
1,-48.484956797928014,17.0
0,-47.43362938564082,23.0
1,-47.43362938564082,17.0
0,-46.38230197335365,23.0
1,-46.38230197335365,17.0
0,-45.33097456106645,23.0
1,-45.33097456106645,17.0
0,-44.279647148779276,23.0
1,-44.279647148779276,17.0
0,-43.2283197364921,23.0
1,-43.2283197364921,17.0
0,-42.176992324204896,23.0
1,-42.176992324204896,17.0
0,-41.125664911917724,23.0
1,-41.125664911917724,17.0
0,-40.074337499630545,23.0
1,-40.074337499630545,17.0
0,-39.023010087343344,23.0
1,-39.023010087343344,17.0
0,-37.97168267505617,23.0
1,-37.97168267505617,17.0
0,-36.920355262768986,23.0
1,-36.920355262768986,17.0
0,-35.8690278504818,23.0
1,-35.8690278504818,17.0
0,-34.81770043819462,23.0
1,-34.81770043819462,17.0
0,-33.76637302590744,23.0
1,-33.76637302590744,17.0
0,-32.71504561362026,23.0
1,-32.71504561362026,17.0
0,-31.66371820133307,23.0
1,-31.66371820133307,17.0
0,-30.61239078904589,23.0
1,-30.61239078904589,17.0
0,-29.561063376758696,23.0
1,-29.561063376758696,17.0
0,-28.509735964471517,23.0
1,-28.509735964471517,17.0
0,-27.458408552184338,23.0
1,-27.458408552184338,17.0
0,-26.40708113989716,23.0
1,-26.40708113989716,17.0
0,-25.35575372760998,23.0
1,-25.35575372760998,17.0
0,-24.304426315322786,23.0
1,-24.304426315322786,17.0
0,-23.253098903035593,23.0
1,-23.253098903035593,17.0
0,-22.201771490748413,23.0
1,-22.201771490748413,17.0
0,-21.150444078461234,23.0
1,-21.150444078461234,17.0
0,-20.099116666174055,23.0
1,-20.099116666174055,17.0
0,-19.047789253886876,23.0
1,-19.047789253886876,17.0
0,-17.996461841599682,23.0
1,-17.996461841599682,17.0
0,-16.945134429312503,23.0
1,-16.945134429312503,17.0
0,-15.893807017025324,23.0
1,-15.893807017025324,17.0
0,-14.842479604738145,23.0
1,-14.842479604738145,17.0
0,-13.791152192450951,23.0
1,-13.791152192450951,17.0
0,-12.739824780163758,23.0
1,-12.739824780163758,17.0
0,-11.688497367876579,23.0
1,-11.688497367876579,17.0
0,-10.6371699555894,23.0
1,-10.6371699555894,17.0
0,-9.58584254330222,23.0
1,-9.58584254330222,17.0
0,-8.534515131015041,23.0
1,-8.534515131015041,17.0
0,-7.483187718727862,23.0
1,-7.483187718727862,17.0
0,-6.431860306440669,23.0
1,-6.431860306440669,17.0
0,-5.38053289415349,23.0
1,-5.38053289415349,17.0
0,-4.329205481866296,23.0
1,-4.329205481866296,17.0
0,-3.277878069579117,23.0
1,-3.277878069579117,17.0
0,-2.226550657291938,23.0
1,-2.226550657291938,17.0
0,-1.1752232450047444,23.0
1,-1.1752232450047444,17.0
0,-0.12389583271756521,23.0
1,-0.12389583271756521,17.0
0,0.9274315795695998,23.0
1,0.9274315795695998,17.0
0,1.9787589918567932,23.0
1,1.9787589918567932,17.0
0,3.0300864041439723,23.0
1,3.0300864041439723,17.0
0,4.081413816431194,23.0
1,4.081413816431194,17.0
0,5.132741228718359,23.0
1,5.132741228718359,17.0
0,6.184068641005538,23.0
1,6.184068641005538,17.0
0,7.235396053292703,23.0
1,7.235396053292703,17.0
0,8.286723465579911,23.0
1,8.286723465579911,17.0
0,9.338050877867104,23.0
1,9.338050877867104,17.0
0,10.38937829015427,23.0
1,10.38937829015427,17.0
0,11.440705702441448,23.0
1,11.440705702441448,17.0
0,12.492033114728613,23.0
1,12.492033114728613,17.0
0,13.543360527015807,23.0
1,13.543360527015807,17.0
0,14.594687939303014,23.0
1,14.594687939303014,17.0
0,15.646015351590208,23.0
1,15.646015351590208,17.0
0,16.697342763877373,23.0
1,16.697342763877373,17.0
0,17.748670176164552,23.0
1,17.748670176164552,17.0
0,18.799997588451717,23.0
1,18.799997588451717,17.0
0,19.85132500073891,23.0
1,19.85132500073891,17.0
0,20.902652413026118,23.0
1,20.902652413026118,17.0
0,21.95397982531331,23.0
1,21.95397982531331,17.0
0,23.005307237600476,23.0
1,23.005307237600476,17.0
0,24.056634649887656,23.0
1,24.056634649887656,17.0
0,25.10796206217482,23.0
1,25.10796206217482,17.0
0,26.159289474462028,23.0
1,26.159289474462028,17.0
0,27.21061688674922,23.0
1,27.21061688674922,17.0
0,28.2619442990364,23.0
1,28.2619442990364,17.0
0,29.31327171132358,23.0
1,29.31327171132358,17.0
0,30.36459912361076,23.0
1,30.36459912361076,17.0
0,31.41592653589794,23.0
1,31.41592653589794,17.0
0,32.46725394818512,23.0
1,32.46725394818512,17.0
0,33.5185813604723,23.0
1,33.5185813604723,17.0
0,34.569908772759476,23.0
1,34.569908772759476,17.0
0,35.62123618504668,23.0
1,35.62123618504668,17.0
0,36.67256359733386,23.0
1,36.67256359733386,17.0
0,37.72389100962104,23.0
1,37.72389100962104,17.0
0,38.77521842190822,23.0
1,38.77521842190822,17.0
0,39.8265458341954,23.0
1,39.8265458341954,17.0
0,40.87787324648261,23.0
1,40.87787324648261,17.0
0,41.92920065876979,23.0
1,41.92920065876979,17.0
0,42.980528071056966,23.0
1,42.980528071056966,17.0
0,44.031855483344145,23.0
1,44.031855483344145,17.0
0,45.083182895631325,23.0
1,45.083182895631325,17.0
0,46.134510307918504,23.0
1,46.134510307918504,17.0
0,47.18583772020568,23.0
1,47.18583772020568,17.0
0,48.23716513249286,23.0
1,48.23716513249286,17.0
0,49.28849254478004,23.0
1,49.28849254478004,17.0
0,50.33981995706722,23.0
1,50.33981995706722,17.0
0,51.39114736935443,23.0
1,51.39114736935443,17.0
0,52.44247478164161,23.0
1,52.44247478164161,17.0
0,53.493802193928815,23.0
1,53.493802193928815,17.0
0,54.545129606215994,23.0
1,54.545129606215994,17.0
0,55.59645701850317,23.0
1,55.59645701850317,17.0
0,56.64778443079035,23.0
1,56.64778443079035,17.0
0,57.69911184307753,23.0
1,57.69911184307753,17.0
0,58.75043925536471,23.0
1,58.75043925536471,17.0
0,59.80176666765189,23.0
1,59.80176666765189,17.0
0,60.85309407993907,23.0
1,60.85309407993907,17.0
0,61.90442149222625,23.0
1,61.90442149222625,17.0
0,62.955748904513456,23.0
1,62.955748904513456,17.0
0,64.00707631680064,23.0
1,64.00707631680064,17.0
0,65.05840372908781,23.0
1,65.05840372908781,17.0
0,66.109731141375,23.0
1,66.109731141375,17.0
0,67.16105855366217,23.0
1,67.16105855366217,17.0
0,68.21238596594935,23.0
1,68.21238596594935,17.0
0,69.26371337823653,23.0
1,69.26371337823653,17.0
0,70.31504079052371,23.0
1,70.31504079052371,17.0
0,71.36636820281089,23.0
1,71.36636820281089,17.0
0,72.4176956150981,23.0
1,72.4176956150981,17.0
0,73.46902302738528,23.0
1,73.46902302738528,17.0
0,74.52035043967248,23.0
1,74.52035043967248,17.0
0,75.57167785195966,23.0
1,75.57167785195966,17.0
0,76.62300526424684,23.0
1,76.62300526424684,17.0
0,77.67433267653402,23.0
1,77.67433267653402,17.0
0,78.7256600888212,23.0
1,78.7256600888212,17.0
0,79.77698750110838,23.0
1,79.77698750110838,17.0
0,80.82831491339556,23.0
1,80.82831491339556,17.0
0,81.87964232568274,23.0
1,81.87964232568274,17.0
0,82.93096973796992,23.0
1,82.93096973796992,17.0
0,83.9822971502571,23.0
1,83.9822971502571,17.0
0,85.03362456254428,23.0
1,85.03362456254428,17.0
0,86.08495197483148,23.0
1,86.08495197483148,17.0
0,87.13627938711866,23.0
1,87.13627938711866,17.0
0,88.18760679940584,23.0
1,88.18760679940584,17.0
0,89.23893421169302,23.0
1,89.23893421169302,17.0
0,90.29026162398023,23.0
1,90.29026162398023,17.0
0,91.34158903626741,23.0
1,91.34158903626741,17.0
